Asset,Blockchain,Address
BICO,Arbitrum,0xa68Ec98D7ca870cF1Dd0b00EBbb7c4bF60A8e74d
BICO,BSC,0x06250a4962558F0F3E69FC07F4c67BB9c9eAc739
BICO,Ethereum,0xF17e65822b568B3903685a7c9F496CF7656Cc6C2
BICO,Fantom,0x524CAbe5b2F66CBd6F6b08dEf086F18F8DdE033a
BICO,Optimism,0xd6909e9e702024eb93312B989ee46794c0fB1C9D
BICO,Polygon,0x91c89A94567980f0e9723b487b0beD586eE96aa7
ETH,Arbitrum,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
ETH,Avalanche,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB
ETH,BSC,0x2170Ed0880ac9A755fd29B2688956BD959F933F8
ETH,Ethereum,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
ETH,Fantom,0x74b23882a30290451A17c44f4F05243b6b58C76d
ETH,Optimism,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
ETH,Polygon,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
USDC,Arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8
USDC,Avalanche,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664
USDC,BSC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d
USDC,Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
USDC,Fantom,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75
USDC,Optimism,0x7F5c764cBc14f9669B88837ca1490cCa17c31607
USDC,Polygon,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
USDT,Arbitrum,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9
USDT,Avalanche,0xc7198437980c041c805A1EDcbA50c1Ce5db95118
USDT,BSC,0x55d398326f99059fF775485246999027B3197955
USDT,Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7
USDT,Fantom,0x049d68029688eAbF473097a2fC38ef61633A3C7A
USDT,Optimism,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58
USDT,Polygon,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
